text,label
tidak karena hanya Beberapa kali menonton,label_0
tidak karena saya berhasil menahannya nafsu,label_0
Saya jarang menonton pornografi,label_0
saya tidak melihat konten pornografi di internet dengan sengaja,label_0
Tidak tertarik,label_0
Ga tertarik nonton porno,label_0
tidak tertarik sama sekali,label_0
jarang Nonton hanya waktu senggang dan tidak candu,label_0
tidak yakin saya kecanduan saya hanya menonton nya beberapa kali,label_0
tidak tertarik Karna kalau udah kecanduan pornografi akan merusak hidup rusak,label_0
tidak kecanduan karena Saya berpendapat bahwa pornografi akan lebih merusak pikiran,label_0
Belum kecanduan selalu mencari kegiatan yang bisa dilakukan agar lebih produktif,label_0
"Tidak, hanya sekedar senang menonton",label_0
Tidak no online/offline terhadap hal yang berbau pornografi,label_0
"Tidak, menurut saya konten pornografi akan menyebabkan kecanduan yang bisa merusak",label_0
"Tidak, saya berusaha selalu teguh pendirian. Sekali berprinsip tidak, maka tidak",label_0
"Tidak pernah, saya lebih menghangari dan mengutamakan prinsip. ( tidak untuk menikmati konten-konten pornografi )",label_0
"Tidak tertarik, bisa mengontrol diri sendiri. Mengerti batasan untuk diri sendiri, mana yang boleh dilakukan mana yang tidak",label_0
"Dari feeling saya sih engga kecanduan, biasa biasa aja",label_0
tidak suka nonton dan tidak kecanduan,label_0
kurang suka menonton seperti itu,label_0
Saya tidak pernah tertarik kepada pornografi,label_0
Tidak tertarik dan tidak merasa kecanduan,label_0
Tidak ingin kecanduan,label_0
tidak pernah,label_0
"Tidak, jadwal selalu beruntut setiap harinya, dan jika terdapat jadwal kosong maka akan mengisi dengan kegiatan kumpul bersama teman/keluarga",label_0
"Tidak pernah, hal ini hanya dilakukan disela waktu liburan yang lama",label_0
"Tidak waktu adalah uang, waktu berarti berharga jadi sebisa mungkin menurut saya menggunakan waktu untuk hal-hal yang positif",label_0
"Tidak, waktu selalu saya usahakan untuk digunakan dengan hal-hal yang baik",label_0
Tidak pernah. setiap jadwal dan kegiatan sudah ada waktu yang terencanakan,label_0
"Tidak pernah, jadwal yang kosong lebih saya gunakan untuk kegiatan lain yang bersifat lebih baik",label_0
"Tidak pernah, waktu yang saya miliki sudah terjadwal",label_0
"Ga separah itu sih, klo mau nonton ya nonton aja",label_0
tidak suka nonton,label_0
Saya banyak meghabiskan kegiatan di perkuliahan tidak ada waktu untuk menonton pornografi,label_0
Tidak,label_0
"Tidak, sudah banyak kegiatan sehingga pikiran tidak tertuju kekonten pornografi",label_0
tidak suka,label_0
Saya tidak pernah mengatur jadwal saya terhadap hal tersebut,label_0
Sama sekali tidak pernah,label_0
tidak mengatur jadwal walaupun Melihat porno tak kenal waktu tapi biasanya waktu2 rawan tuh malam,label_0
Ya ga pernah..,label_0
Saya tidak sekecanduan itu sampai bikin jadwal,label_0
Tidak pernah kepikiran,label_0
tidak pernah Saya aja gabut.. ngapain bikin jadwal,label_0
"tidak pernahMelihat porno kan malam hari ngapain sampai ngatur jadwal, kadang kalau tidak terlalu sibuk ya ada kesempatan",label_0
Tidak pernah kepikiran sampai mengatur jadwal,label_0
Saya kurang sibuk ngapain ngatur jadwal,label_0
Melihat saat waktu senggang aja,label_0
"G pernah kepikiran sih, kalau inget aja",label_0
Tidak pernah kepikiran sampai kesitu,label_0
"Tidak pernah menolak, kumpul bersama teman lebih prioritas",label_0
Asal positif saya akan mengusahakan untuk ikut kegiatan,label_0
"Tidak, selagi sempat dan bisa waktu kumpul adalah hal yang akan saya lakukan. Hal ini akan lebih bermanfaat dari pada harus berdiam diri menonton pornografi",label_0
"Tidak pernah, aktivitas tersebut lebih baik. Dan bisa kita lakukan saat diwaktu luang untuk menghindari keinginan nonton pornografi saat sendirian (saat diwaktu santai)",label_0
"Tidak pernah, selagi ada waktu maka saya akan lebih mengutamakan kegiatan sosial yang lebih bermanfaat dan berdampak positif",label_0
Nonton porno malem doang,label_0
"Jika berada dalam situasi tersebut, saya lebih suka berinteraksi secara sosial daripada menghabiskan waktu menonton pornografi.",label_0
Bermain dgn teman lebih enk,label_0
"Tidak, setiap ajakan teman jika itu positif akan lebih mengutamakan",label_0
waktu dgn teman lebih penting,label_0
Tidak pernah saya menolak ajakan bersosialisasi ingin menonton pornografi,label_0
Sama sekali bukan saya,label_0
Kesempatan nonton porno itu malam hari lebih enak,label_0
Menonton kalau memang lagi setress aja,label_0
kesempatan nonton pornografi biasanya malam soo yeah tidak ada kegiatan sosial,label_0
"Saya melihat saat tidak ada kerjaan saja, bener2 senggang",label_0
Tidak pernah berfikiran seperti itu,label_0
Kalau melihat waktu malam hari diatas jam 9,label_0
Melihat porno waktu malam hari jadi aman,label_0
Jika ada kegitan saya tidak berbuat itu,label_0
wkatu dgn teman lebih penting,label_0
karna tidak pernah,label_0
Tidak ketergantungan,label_0
tidak pernah menolak ajakan teman apabila keluar,label_0
melihatnya tengah malam jadi ya tidak ada alasan untuk menolak,label_0
"Tidak pernah menolak, karna ya melihat porno pada saat tengah malam/dini hari",label_0
Engga pernah sih soalnya nontonnya juga waktu malem jam2 sebelum tidur,label_0
Ngga sampai segitunya sih,label_0
bertemu dgn temen tapi lebih penting,label_0
Ya karna waktunya malam hari sekitar jam 10an keatas,label_0
"Untuk saat ini tidak, sudah berkelurga, dan kelurga lebih menjadi prioritas utama.",label_0
Tidak proritas saya untuk saat ini adalah kerjaan dan keluarga,label_0
"Tidak pernah, pekerjaan akan lebih penting dan lebih terjamin untuk masa depan.",label_0
"Tidak pernah, karean prioritas lebih diatas segalanya. Prioritas akan berlajan beriringan dengan kebutuhan hidup yang lain",label_0
Tidak pernah prioritas penting berarti hal utama dalam hidup saya yang harus saya utamakan,label_0
Ga segila itu saya,label_0
Saya selalu menempatkan jadwal kuliah saya dalam prioritas dan harus mengerjakan sesuatu menurut skala prioritas.,label_0
